region_id,x,y
1,-27129.094,-40072.025
1,-27091.157,-39981.623
1,-27777.482,-39671.252
1,-27821.133,-39782.979
2,-18690.007,-43497.588
2,-18552.601,-42824.13
2,-23505.609,-41468.277
2,-23712.228,-42159.062
3,-26001.123,-40821.13
3,-24016.803,-41659.831
3,-23563.383,-40505.762
3,-25769.264,-39929.047
