region_id,x,y
9,-25600.36,	-40098.087
9,-24595.383,	-40308.227
9,-25676.034,	-40294.667
9,-24688.35,	-40434.459
10,-25446.663,	-40388.984
10,-23860.746,	-40662.786
10,-24016.803,	-41659.831
10,-25229.509,	-41209.454
